game_number,num_moves
1,98
2,96
3,96
4,96
5,73
6,98
7,98
8,91
9,98
10,98
11,95
12,99
13,95
14,96
15,100
16,100
17,92
18,99
19,89
20,100
21,100
22,95
23,99
24,99
25,94
26,82
27,80
28,98
29,100
30,89
31,86
32,92
33,99
34,99
35,95
36,79
37,99
38,97
39,93
40,95
41,98
42,93
43,99
44,83
45,92
46,89
47,91
48,100
49,100
50,98
51,98
52,99
53,83
54,89
55,94
56,93
57,100
58,99
59,100
60,97
61,89
62,98
63,94
64,100
65,76
66,96
67,82
68,92
69,100
70,93
71,91
72,94
73,98
74,99
75,98
76,98
77,95
78,100
79,87
80,98
81,100
82,82
83,100
84,93
85,93
86,98
87,94
88,95
89,97
90,98
91,89
92,97
93,90
94,99
95,100
96,96
97,87
98,97
99,99
100,94
101,83
102,94
103,99
104,82
105,96
106,97
107,100
108,97
109,88
110,97
111,100
112,100
113,98
114,100
115,100
116,99
117,92
118,98
119,96
120,100
121,99
122,100
123,98
124,74
125,96
126,94
127,99
128,97
129,94
130,99
131,94
132,94
133,95
134,98
135,96
136,99
137,97
138,99
139,99
140,96
141,100
142,97
143,100
144,98
145,98
146,93
147,94
148,89
149,94
150,99
151,95
152,100
153,95
154,99
155,97
156,95
157,98
158,97
159,98
160,100
161,99
162,92
163,91
164,100
165,96
166,98
167,99
168,94
169,100
170,97
171,99
172,96
173,99
174,89
175,99
176,100
177,98
178,85
179,98
180,98
181,98
182,100
183,100
184,95
185,100
186,98
187,99
188,100
189,98
190,97
191,97
192,99
193,95
194,99
195,91
196,94
197,97
198,99
199,72
200,95
201,94
202,93
203,68
204,89
205,100
206,98
207,85
208,100
209,95
210,90
211,98
212,97
213,99
214,96
215,95
216,97
217,99
218,98
219,98
220,98
221,91
222,97
223,93
224,96
225,97
226,100
227,100
228,95
229,90
230,96
231,96
232,97
233,91
234,89
235,93
236,91
237,100
238,100
239,96
240,97
241,90
242,92
243,97
244,95
245,99
246,97
247,98
248,96
249,84
250,94
251,93
252,99
253,96
254,98
255,100
256,91
257,78
258,99
259,97
260,96
261,83
262,98
263,96
264,92
265,97
266,96
267,97
268,94
269,80
270,98
271,91
272,94
273,100
274,94
275,99
276,93
277,98
278,98
279,84
280,95
281,100
282,100
283,96
284,95
285,97
286,93
287,96
288,97
289,97
290,79
291,87
292,99
293,97
294,96
295,100
296,100
297,95
298,100
299,100
300,99
301,97
302,99
303,86
304,96
305,97
306,100
307,98
308,98
309,97
310,99
311,95
312,97
313,98
314,92
315,93
316,100
317,86
318,94
319,95
320,97
321,97
322,97
323,83
324,98
325,99
326,97
